Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
11;0;3762;1506;5268;1257_mlima-vuttr-1.1.0-swagger.json
47;15;3809;1521;5330;1268_Mosaic-business-api-1.0.25-swagger.json
7;0;3816;1521;5337;1277_mspisarev-AIS2.0_dictionaries_tariffs-0.15.0.30-swagger.json
1;0;3817;1521;5338;1280_mspisarev2-common-0.15.0.30-swagger.json
16;0;3833;1521;5354;1306_nduytg-Deeper-1.0.1-oas3-swagger.json
160;21;3993;1542;5535;1322_NickDarvey-Test-1-oas3-swagger.json
6;3;3999;1545;5544;1334_norima-sfi-IrisMobileApi-v0.2-swagger.json
23;0;4022;1545;5567;1336_nottakis-visit-nursing-0.1.4-swagger.json
4;3;4026;1548;5574;1342_NYSHEX-enforceable-bookings-1.0.4-swagger.json
77;0;4103;1548;5651;1353_OfficeGuy-OfficeGuyAPI-v4-oas3-swagger.json
2;0;4105;1548;5653;1362_Omni.sc-employers-api-1.1.2-swagger.json
38;0;4143;1548;5691;1369_Onegolive-jde_bssv_rest-1.0-swagger.json
60;200;4203;1748;5951;1374_OpenBankingRadar-Open_Banking_Brasil_API-v1.0-swagger.json
7;0;4210;1748;5958;1377_ORBCOMM-ORBCOMM_AIS_API-2.0.10-swagger.json
37;0;4247;1748;5995;1387_Otarkie-test-1.0.0-oas3-swagger.json
8;0;4255;1748;6003;1388_OTDP-Toolbox-1.2.0.13-swagger.json
43;56;4298;1804;6102;1390_Outlocks-access-api-1.3.1-swagger.json
22;14;4320;1818;6138;1391_p0psicles8-medusa-api-2.0.0-oas3-swagger.json
15;100;4335;1918;6253;1400_Panaya6-Panaya-19.09-swagger.json
6;0;4341;1918;6259;1401_paperini-api-paperini-plugin_api-latest-swagger.json
24;73;4365;1991;6356;1402_paramaw-swagger-petstore-1.0.0.1-swagger.json
3;0;4368;1991;6359;1411_PavanKrishnaGadde-HR_API_3.0-2.0.0-swagger.json
13;16;4381;2007;6388;1412_Payment-Approved-CBIX-0.1.0-swagger.json
151;28;4532;2035;6567;1423_PGA2-ServiceTitan-v1-swagger.json
14;6;4546;2041;6587;1426_philectron-osu-cs-applied-plan-portal-1.0.0-swagger.json
36;1;4582;2042;6624;1439_pierre.charles.m2m-PedroCarlos-1.0.0-swagger.json
5;0;4587;2042;6629;1456_POLIEDRO-Documentos-SAEP-1.0.0-swagger.json
7;0;4594;2042;6636;1457_POLIEDRO-Inscricoes-SAEP-1.0.0-swagger.json
9;0;4603;2042;6645;1472_product_dev-kays-locations-dev-1.0.0-oas3-swagger.json
5;0;4608;2042;6650;1496_QA_Automation-Execution-Run-1.0-swagger.json
7;4;4615;2046;6661;1499_qloudsoft-nectr-1.0.0-swagger.json
14;1;4629;2047;6676;1510_rafaucau-Cantor-1.0-swagger.json
2;3;4631;2050;6681;1533_rbandarupally-OnboardingOrganisation-1.0.0-swagger.json
1;0;4632;2050;6682;1538_RedtTelecom-OmnichannelAPI-3.4.2-swagger.json
43;4;4675;2054;6729;1546_Responder-responder-V2.0-swagger.json
5;3;4680;2057;6737;1547_Restrain-Status-3.0.0-beta3-swagger.json
11;0;4691;2057;6748;1548_retailsolution-GeneralAPI-1.0.0-swagger.json
8;1;4699;2058;6757;1549_retailsolution-InternalPayment-1.0-swagger.json
32;4;4731;2062;6793;1550_retor7-citizen-app_api_docs-2.0.0-swagger.json
28;14;4759;2076;6835;1551_RFG-UserManagement-1.0.0-swagger.json
20;3;4779;2079;6858;1564_robertvanmolken-SpendiesAPI-1.0-swagger.json
6;0;4785;2079;6864;1565_robsel1186-Habit-Tracker-1.0.0-oas3-swagger.json
7;0;4792;2079;6871;1570_romulo94-vuttr-1.0.0-swagger.json
6;0;4798;2079;6877;1573_rontero-skso-1.0.0-oas3-swagger.json
153;0;4951;2079;7030;1578_ross-zebra-ross_sim_api-1.13.647.0-swagger.json
12;0;4963;2079;7042;1585_rtgholdings-RTGHoldingsOpenCRMAPI-1.0-swagger.json
14;0;4977;2079;7056;1586_rtgholdings-RTGHoldingsOpenCRMAPISandbox-1.0-swagger.json
20;38;4997;2117;7114;1614_sample-api-mock-common-1.0.0-swagger.json
16;4;5013;2121;7134;1631_scd.sulga-hrmny-1.0.1-swagger.json
6;0;5019;2121;7140;1650_senta-Senta-1.4-swagger.json
42;4;5061;2125;7186;1653_sentifi-api-docs-sentifi-intelligence_markets_api-1.0.0-swagger.json
23;0;5084;2125;7209;1654_sep3-project-SEP3-tier2-1.0.0-oas3-swagger.json
4;1;5088;2126;7214;1669_shjulberg-music-api-0.3.3-swagger.json
42;19;5130;2145;7275;1673_Shoprunback-SRB-APP-1.1.0.0-swagger.json
3;0;5133;2145;7278;1688_sindhu-gangadharan-product-1.0.0-swagger.json
15;0;5148;2145;7293;1700_Smartinfo-Sweden-AB-SmartinfoSystemsAPI-2.5.0-oas3-swagger.json
5;3;5153;2148;7301;1703_smoya_samba-mvr-api-0.0.3-swagger.json
1;0;5154;2148;7302;1705_SOITEC-AWS_SES-1.0.0-oas3-swagger.json
9;0;5163;2148;7311;1722_SportsBiz-CognitoAdapter-1.0.0-swagger.json
9;0;5172;2148;7320;1724_sportshi-team-service-1.0.0-swagger.json
22;0;5194;2148;7342;1727_Srijan-Tech-la-mer_lmx_cms_rest_api-1.0-swagger.json
14;14;5208;2162;7370;1732_Staant95-Smartshop-1.0.0-swagger.json
24;6;5232;2168;7400;1738_StepAhead-StepsCRM-0.0.8-swagger.json
3;1;5235;2169;7404;1750_Subway-FreshAPI-Order-1.0.0-swagger.json
3;10;5238;2179;7417;1768_szse-dev-finbus_mbam_monitoring_indicator-0.0.1-swagger.json
9;6;5247;2185;7432;1776_talentclue-talent-clue_api-1.1.4-swagger.json
7;0;5254;2185;7439;1777_taltech-lang-lab-SpeakerID-1.0.0-swagger.json
50;0;5304;2185;7489;1789_team777-1551-1.0.0-oas3-swagger.json
