Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
47;15;4807;2187;6994;1268_Mosaic-business-api-1.0.25-swagger.json
7;0;4814;2187;7001;1277_mspisarev-AIS2.0_dictionaries_tariffs-0.15.0.30-swagger.json
1;0;4815;2187;7002;1280_mspisarev2-common-0.15.0.30-swagger.json
3;0;4818;2187;7005;1281_mspisarev2-documents-0.15.0.30-swagger.json
16;0;4834;2187;7021;1306_nduytg-Deeper-1.0.1-oas3-swagger.json
160;21;4994;2208;7202;1322_NickDarvey-Test-1-oas3-swagger.json
6;3;5000;2211;7211;1334_norima-sfi-IrisMobileApi-v0.2-swagger.json
23;0;5023;2211;7234;1336_nottakis-visit-nursing-0.1.4-swagger.json
4;3;5027;2214;7241;1342_NYSHEX-enforceable-bookings-1.0.4-swagger.json
77;0;5104;2214;7318;1353_OfficeGuy-OfficeGuyAPI-v4-oas3-swagger.json
2;0;5106;2214;7320;1362_Omni.sc-employers-api-1.1.2-swagger.json
38;0;5144;2214;7358;1369_Onegolive-jde_bssv_rest-1.0-swagger.json
60;200;5204;2414;7618;1374_OpenBankingRadar-Open_Banking_Brasil_API-v1.0-swagger.json
7;0;5211;2414;7625;1377_ORBCOMM-ORBCOMM_AIS_API-2.0.10-swagger.json
37;0;5248;2414;7662;1387_Otarkie-test-1.0.0-oas3-swagger.json
8;0;5256;2414;7670;1388_OTDP-Toolbox-1.2.0.13-swagger.json
43;56;5299;2470;7769;1390_Outlocks-access-api-1.3.1-swagger.json
22;14;5321;2484;7805;1391_p0psicles8-medusa-api-2.0.0-oas3-swagger.json
15;100;5336;2584;7920;1400_Panaya6-Panaya-19.09-swagger.json
6;0;5342;2584;7926;1401_paperini-api-paperini-plugin_api-latest-swagger.json
24;73;5366;2657;8023;1402_paramaw-swagger-petstore-1.0.0.1-swagger.json
3;0;5369;2657;8026;1411_PavanKrishnaGadde-HR_API_3.0-2.0.0-swagger.json
13;16;5382;2673;8055;1412_Payment-Approved-CBIX-0.1.0-swagger.json
151;28;5533;2701;8234;1423_PGA2-ServiceTitan-v1-swagger.json
14;6;5547;2707;8254;1426_philectron-osu-cs-applied-plan-portal-1.0.0-swagger.json
141;77;5688;2784;8472;1427_phillydevshop-ship-engine_api-1.1.202003301403-swagger.json
36;1;5724;2785;8509;1439_pierre.charles.m2m-PedroCarlos-1.0.0-swagger.json
5;0;5729;2785;8514;1456_POLIEDRO-Documentos-SAEP-1.0.0-swagger.json
7;0;5736;2785;8521;1457_POLIEDRO-Inscricoes-SAEP-1.0.0-swagger.json
9;0;5745;2785;8530;1472_product_dev-kays-locations-dev-1.0.0-oas3-swagger.json
5;0;5750;2785;8535;1496_QA_Automation-Execution-Run-1.0-swagger.json
7;4;5757;2789;8546;1499_qloudsoft-nectr-1.0.0-swagger.json
7;18;5764;2807;8571;1505_Qvaleio-user-mgmt-apis-1.0.0-swagger.json
14;1;5778;2808;8586;1510_rafaucau-Cantor-1.0-swagger.json
2;3;5780;2811;8591;1533_rbandarupally-OnboardingOrganisation-1.0.0-swagger.json
1;0;5781;2811;8592;1538_RedtTelecom-OmnichannelAPI-3.4.2-swagger.json
43;4;5824;2815;8639;1546_Responder-responder-V2.0-swagger.json
